path,size,time,steps
DIMACS_4x4/sudoku_4x4_nr_950.cnf,4x4,9.249997674487531e-07,66
DIMACS_4x4/sudoku_4x4_nr_950.cnf,4x4,3.360037226229906e-07,67
DIMACS_4x4/sudoku_4x4_nr_950.cnf,4x4,2.710003172978759e-07,68
DIMACS_4x4/sudoku_4x4_nr_950.cnf,4x4,3.5099947126582265e-07,69
DIMACS_4x4/sudoku_4x4_nr_950.cnf,4x4,2.6999623514711857e-07,70
DIMACS_4x4/sudoku_4x4_nr_950.cnf,4x4,3.0500086722895503e-07,71
DIMACS_4x4/sudoku_4x4_nr_950.cnf,4x4,2.449960447847843e-07,72
DIMACS_4x4/sudoku_4x4_nr_950.cnf,4x4,2.6999623514711857e-07,73
DIMACS_4x4/sudoku_4x4_nr_950.cnf,4x4,2.630040398798883e-07,74
DIMACS_4x4/sudoku_4x4_nr_944.cnf,4x4,0.0025697859964566305,65
DIMACS_4x4/sudoku_4x4_nr_944.cnf,4x4,6.059999577701092e-07,66
DIMACS_4x4/sudoku_4x4_nr_944.cnf,4x4,3.1499803299084306e-07,67
DIMACS_4x4/sudoku_4x4_nr_944.cnf,4x4,3.1899980967864394e-07,68
DIMACS_4x4/sudoku_4x4_nr_944.cnf,4x4,2.749948180280626e-07,69
DIMACS_4x4/sudoku_4x4_nr_944.cnf,4x4,3.1100353226065636e-07,70
DIMACS_4x4/sudoku_4x4_nr_944.cnf,4x4,2.6099587557837367e-07,71
DIMACS_4x4/sudoku_4x4_nr_944.cnf,4x4,2.76995706371963e-07,72
DIMACS_4x4/sudoku_4x4_nr_944.cnf,4x4,2.4800101527944207e-07,73
DIMACS_4x4/sudoku_4x4_nr_944.cnf,4x4,2.4800101527944207e-07,74
DIMACS_4x4/sudoku_4x4_nr_978.cnf,4x4,0.002560960994742345,65
DIMACS_4x4/sudoku_4x4_nr_978.cnf,4x4,6.539994501508772e-07,66
DIMACS_4x4/sudoku_4x4_nr_978.cnf,4x4,3.0700175557285547e-07,67
DIMACS_4x4/sudoku_4x4_nr_978.cnf,4x4,2.6899942895397544e-07,68
DIMACS_4x4/sudoku_4x4_nr_978.cnf,4x4,2.390006557106972e-07,69
DIMACS_4x4/sudoku_4x4_nr_978.cnf,4x4,2.759989001788199e-07,70
DIMACS_4x4/sudoku_4x4_nr_978.cnf,4x4,2.4200562620535493e-07,71
DIMACS_4x4/sudoku_4x4_nr_978.cnf,4x4,2.429951564408839e-07,72
DIMACS_4x4/sudoku_4x4_nr_978.cnf,4x4,2.410015440545976e-07,73
DIMACS_4x4/sudoku_4x4_nr_978.cnf,4x4,2.439992385916412e-07,74
DIMACS_4x4/sudoku_4x4_nr_993.cnf,4x4,0.0021448659972520545,65
DIMACS_4x4/sudoku_4x4_nr_993.cnf,4x4,9.960058378055692e-07,66
DIMACS_4x4/sudoku_4x4_nr_993.cnf,4x4,3.6400160752236843e-07,67
DIMACS_4x4/sudoku_4x4_nr_993.cnf,4x4,2.9999500839039683e-07,68
DIMACS_4x4/sudoku_4x4_nr_993.cnf,4x4,2.6100315153598785e-07,69
DIMACS_4x4/sudoku_4x4_nr_993.cnf,4x4,2.9999500839039683e-07,70
DIMACS_4x4/sudoku_4x4_nr_993.cnf,4x4,2.66998540610075e-07,71
DIMACS_4x4/sudoku_4x4_nr_993.cnf,4x4,2.489978214725852e-07,72
DIMACS_4x4/sudoku_4x4_nr_993.cnf,4x4,2.4600012693554163e-07,73
DIMACS_4x4/sudoku_4x4_nr_993.cnf,4x4,2.490050974301994e-07,74
DIMACS_4x4/sudoku_4x4_nr_987.cnf,4x4,0.0027477429975988343,65
DIMACS_4x4/sudoku_4x4_nr_987.cnf,4x4,8.520000847056508e-07,66
DIMACS_4x4/sudoku_4x4_nr_987.cnf,4x4,3.2399839255958796e-07,67
DIMACS_4x4/sudoku_4x4_nr_987.cnf,4x4,2.8799695428460836e-07,68
DIMACS_4x4/sudoku_4x4_nr_987.cnf,4x4,2.529995981603861e-07,69
DIMACS_4x4/sudoku_4x4_nr_987.cnf,4x4,3.0700175557285547e-07,70
DIMACS_4x4/sudoku_4x4_nr_987.cnf,4x4,2.659944584593177e-07,71
DIMACS_4x4/sudoku_4x4_nr_987.cnf,4x4,2.479937393218279e-07,72
DIMACS_4x4/sudoku_4x4_nr_987.cnf,4x4,2.949964255094528e-07,73
DIMACS_4x4/sudoku_4x4_nr_987.cnf,4x4,2.980013960041106e-07,74
DIMACS_4x4/sudoku_4x4_nr_777.cnf,4x4,0.0024795999997877516,65
DIMACS_4x4/sudoku_4x4_nr_777.cnf,4x4,7.630005711689591e-07,66
DIMACS_4x4/sudoku_4x4_nr_777.cnf,4x4,3.1799572752788663e-07,67
DIMACS_4x4/sudoku_4x4_nr_777.cnf,4x4,2.6100315153598785e-07,68
DIMACS_4x4/sudoku_4x4_nr_777.cnf,4x4,2.910019247792661e-07,69
DIMACS_4x4/sudoku_4x4_nr_777.cnf,4x4,2.8400245355442166e-07,70
DIMACS_4x4/sudoku_4x4_nr_777.cnf,4x4,2.4099426809698343e-07,71
DIMACS_4x4/sudoku_4x4_nr_777.cnf,4x4,2.439992385916412e-07,72
DIMACS_4x4/sudoku_4x4_nr_777.cnf,4x4,2.410015440545976e-07,73
DIMACS_4x4/sudoku_4x4_nr_777.cnf,4x4,2.710003172978759e-07,74
DIMACS_4x4/sudoku_4x4_nr_763.cnf,4x4,0.004326341004343703,65
DIMACS_4x4/sudoku_4x4_nr_763.cnf,4x4,1.1080046533606946e-06,66
DIMACS_4x4/sudoku_4x4_nr_763.cnf,4x4,3.259992809034884e-07,67
DIMACS_4x4/sudoku_4x4_nr_763.cnf,4x4,2.7000351110473275e-07,68
DIMACS_4x4/sudoku_4x4_nr_763.cnf,4x4,2.7000351110473275e-07,69
DIMACS_4x4/sudoku_4x4_nr_763.cnf,4x4,2.529995981603861e-07,70
DIMACS_4x4/sudoku_4x4_nr_763.cnf,4x4,2.759989001788199e-07,71
DIMACS_4x4/sudoku_4x4_nr_763.cnf,4x4,3.169989213347435e-07,72
DIMACS_4x4/sudoku_4x4_nr_763.cnf,4x4,3.0600494937971234e-07,73
DIMACS_4x4/sudoku_4x4_nr_763.cnf,4x4,2.439992385916412e-07,74
DIMACS_4x4/sudoku_4x4_nr_824.cnf,4x4,0.002456920003169216,65
DIMACS_4x4/sudoku_4x4_nr_824.cnf,4x4,8.069982868619263e-07,66
DIMACS_4x4/sudoku_4x4_nr_824.cnf,4x4,3.1899980967864394e-07,67
DIMACS_4x4/sudoku_4x4_nr_824.cnf,4x4,2.5700137484818697e-07,68
DIMACS_4x4/sudoku_4x4_nr_824.cnf,4x4,2.590022631920874e-07,69
DIMACS_4x4/sudoku_4x4_nr_824.cnf,4x4,2.9099464882165194e-07,70
DIMACS_4x4/sudoku_4x4_nr_824.cnf,4x4,2.600063453428447e-07,71
DIMACS_4x4/sudoku_4x4_nr_824.cnf,4x4,2.8299837140366435e-07,72
DIMACS_4x4/sudoku_4x4_nr_824.cnf,4x4,2.5899498723447323e-07,73
DIMACS_4x4/sudoku_4x4_nr_824.cnf,4x4,2.5600456865504384e-07,74
DIMACS_4x4/sudoku_4x4_nr_830.cnf,4x4,0.0023098140009096824,65
DIMACS_4x4/sudoku_4x4_nr_830.cnf,4x4,7.62993295211345e-07,66
DIMACS_4x4/sudoku_4x4_nr_830.cnf,4x4,3.33995558321476e-07,67
DIMACS_4x4/sudoku_4x4_nr_830.cnf,4x4,2.839951775968075e-07,68
DIMACS_4x4/sudoku_4x4_nr_830.cnf,4x4,2.450033207423985e-07,69
DIMACS_4x4/sudoku_4x4_nr_830.cnf,4x4,2.770029823295772e-07,70
DIMACS_4x4/sudoku_4x4_nr_830.cnf,4x4,2.5500048650428653e-07,71
DIMACS_4x4/sudoku_4x4_nr_830.cnf,4x4,2.439992385916412e-07,72
DIMACS_4x4/sudoku_4x4_nr_830.cnf,4x4,2.4999462766572833e-07,73
DIMACS_4x4/sudoku_4x4_nr_830.cnf,4x4,2.860033418983221e-07,74
DIMACS_4x4/sudoku_4x4_nr_818.cnf,4x4,0.003412778001802508,65
DIMACS_4x4/sudoku_4x4_nr_818.cnf,4x4,2.1079977159388363e-06,66
DIMACS_4x4/sudoku_4x4_nr_818.cnf,4x4,2.990054781548679e-07,67
DIMACS_4x4/sudoku_4x4_nr_818.cnf,4x4,2.929955371655524e-07,68
DIMACS_4x4/sudoku_4x4_nr_818.cnf,4x4,2.730012056417763e-07,69
DIMACS_4x4/sudoku_4x4_nr_818.cnf,4x4,3.1899980967864394e-07,70
DIMACS_4x4/sudoku_4x4_nr_818.cnf,4x4,3.169989213347435e-07,71
DIMACS_4x4/sudoku_4x4_nr_818.cnf,4x4,2.489978214725852e-07,72
DIMACS_4x4/sudoku_4x4_nr_818.cnf,4x4,2.8299837140366435e-07,73
DIMACS_4x4/sudoku_4x4_nr_818.cnf,4x4,2.630040398798883e-07,74
DIMACS_4x4/sudoku_4x4_nr_159.cnf,4x4,0.002297836006619036,65
DIMACS_4x4/sudoku_4x4_nr_159.cnf,4x4,7.800044841133058e-07,66
DIMACS_4x4/sudoku_4x4_nr_159.cnf,4x4,3.3400283427909017e-07,67
DIMACS_4x4/sudoku_4x4_nr_159.cnf,4x4,2.809974830597639e-07,68
DIMACS_4x4/sudoku_4x4_nr_159.cnf,4x4,3.00002284348011e-07,69
DIMACS_4x4/sudoku_4x4_nr_159.cnf,4x4,2.5700137484818697e-07,70
DIMACS_4x4/sudoku_4x4_nr_159.cnf,4x4,2.640008460730314e-07,71
DIMACS_4x4/sudoku_4x4_nr_159.cnf,4x4,2.4699693312868476e-07,72
DIMACS_4x4/sudoku_4x4_nr_159.cnf,4x4,2.500019036233425e-07,73
DIMACS_4x4/sudoku_4x4_nr_159.cnf,4x4,2.540036803111434e-07,74
DIMACS_4x4/sudoku_4x4_nr_603.cnf,4x4,0.0028009649977320805,65
DIMACS_4x4/sudoku_4x4_nr_603.cnf,4x4,7.739945431239903e-07,66
DIMACS_4x4/sudoku_4x4_nr_603.cnf,4x4,3.259992809034884e-07,67
DIMACS_4x4/sudoku_4x4_nr_603.cnf,4x4,2.6999623514711857e-07,68
DIMACS_4x4/sudoku_4x4_nr_603.cnf,4x4,2.7000351110473275e-07,69
DIMACS_4x4/sudoku_4x4_nr_603.cnf,4x4,2.6899942895397544e-07,70
DIMACS_4x4/sudoku_4x4_nr_603.cnf,4x4,2.4300243239849806e-07,71
DIMACS_4x4/sudoku_4x4_nr_603.cnf,4x4,2.7399801183491945e-07,72
DIMACS_4x4/sudoku_4x4_nr_603.cnf,4x4,2.6600173441693187e-07,73
DIMACS_4x4/sudoku_4x4_nr_603.cnf,4x4,2.4600012693554163e-07,74
DIMACS_4x4/sudoku_4x4_nr_165.cnf,4x4,0.003247978995204903,65
